//char	type	Width	Filename
(	item	4	FontItem(_28.png
ﾌ	item	5	FontItemﾌ_CC.png
ｫ	item	5	FontItemｫ_AB.png
ﾚ	item	5	FontItemﾚ_DA.png
ｽ	item	6	FontItemｽ_BD.png
ﾄ	item	5	FontItemﾄ_C4.png
ﾅ	item	5	FontItemﾅ_C5.png
ｲ	item	5	FontItemｲ_B2.png
)	item	4	FontItem)_29.png
ﾞ	item	3	FontItemﾞ_DE.png
ﾗ	item	5	FontItemﾗ_D7.png
ｺ	item	5	FontItemｺ_BA.png
ﾝ	item	6	FontItemﾝ_DD.png
ﾏ	item	6	FontItemﾏ_CF.png
ﾀ	item	5	FontItemﾀ_C0.png
ｰ	item	1	FontItemｰ_B0.png
ﾜ	item	5	FontItemﾜ_DC.png
ﾊ	item	6	FontItemﾊ_CA.png
ｧ	item	5	FontItemｧ_A7.png
ﾙ	item	6	FontItemﾙ_D9.png
ﾓ	item	5	FontItemﾓ_D3.png
ｻ	item	5	FontItemｻ_BB.png
ｩ	item	5	FontItemｩ_A9.png
ｸ	item	5	FontItemｸ_B8.png
ﾃ	item	5	FontItemﾃ_C3.png
ｶ	item	5	FontItemｶ_B6.png
ｿ	item	5	FontItemｿ_BF.png
ﾋ	item	5	FontItemﾋ_CB.png
ﾑ	item	6	FontItemﾑ_D1.png
M	item	8	FontItemM_4D.png
#	item	6	FontItem#_23.png
0	item	6	FontItem0_30.png
如	item	9	FontItem如_4094.png
邸	item	9	FontItem邸_4093.png
宗	item	9	FontItem宗_408F.png
繊	item	10	FontItem繊_4091.png
諭	item	10	FontItem諭_4097.png
后	item	9	FontItem后_408D.png
鼻	item	9	FontItem鼻_4095.png
魁	item	10	FontItem魁_408A.png
拭	item	10	FontItem拭_4090.png
2	item	5	FontItem2_32.png
4	item	6	FontItem4_34.png
/	item	5	FontItem__2F.png
9	item	6	FontItem9_39.png
T	item	6	FontItemT_54.png
H	item	7	FontItemH_48.png
U	item	7	FontItemU_55.png
 	item	1	FontItem _20.png
1	item	4	FontItem1_31.png
3	item	5	FontItem3_33.png
:	item	3	FontItem__3A.png
5	item	5	FontItem5_35.png
6	item	6	FontItem6_36.png
就	item	10	FontItem就_418F.png
植	item	9	FontItem植_4190.png
尿	item	9	FontItem尿_4194.png
鄭	item	10	FontItem鄭_4193.png
泡	item	9	FontItem泡_4196.png
喉	item	10	FontItem喉_418D.png
但	item	9	FontItem但_4192.png
廣	item	9	FontItem廣_419C.png
拶	item	10	FontItem拶_418E.png
羨	item	9	FontItem羨_4191.png
錬	item	10	FontItem錬_4298.png
州	item	9	FontItem州_428F.png
撮	item	10	FontItem撮_428E.png
械	item	10	FontItem械_428A.png
殖	item	9	FontItem殖_4290.png
毅	item	10	FontItem毅_428B.png
坑	item	10	FontItem坑_428D.png
韮	item	9	FontItem韮_4294.png
釘	item	9	FontItem釘_4293.png
咤	item	9	FontItem咤_429A.png
腺	item	10	FontItem腺_4291.png
砲	item	10	FontItem砲_4396.png
匹	item	9	FontItem匹_4395.png
擦	item	9	FontItem擦_438E.png
靴	item	10	FontItem靴_438C.png
辰	item	9	FontItem辰_4392.png
呂	item	9	FontItem呂_4398.png
韻	item	10	FontItem韻_4389.png
佑	item	9	FontItem佑_4397.png
舛	item	9	FontItem舛_4391.png
札	item	10	FontItem札_448E.png
妊	item	9	FontItem妊_4494.png
縫	item	10	FontItem縫_4496.png
汽	item	10	FontItem汽_448B.png
魯	item	9	FontItem魯_4498.png
愁	item	9	FontItem愁_448F.png
忍	item	9	FontItem忍_4594.png
摘	item	9	FontItem摘_4593.png
薦	item	9	FontItem薦_4591.png
胞	item	10	FontItem胞_4596.png
拾	item	10	FontItem拾_458F.png
畿	item	10	FontItem畿_458B.png
窪	item	9	FontItem窪_458C.png
孔	item	10	FontItem孔_458D.png
礒	item	10	FontItem礒_45E2.png
詮	item	10	FontItem詮_4691.png
宇	item	9	FontItem宇_4689.png
孝	item	9	FontItem孝_468D.png
熊	item	9	FontItem熊_468C.png
彦	item	9	FontItem彦_4695.png
芳	item	9	FontItem芳_4696.png
炉	item	9	FontItem炉_4698.png
洲	item	9	FontItem洲_468F.png
薩	item	9	FontItem薩_468E.png
巽	item	9	FontItem巽_4692.png
季	item	9	FontItem季_478B.png
宏	item	9	FontItem宏_478D.png
濡	item	9	FontItem濡_4794.png
烏	item	9	FontItem烏_4789.png
隈	item	10	FontItem隈_478C.png
膝	item	10	FontItem膝_4795.png
萌	item	9	FontItem萌_4796.png
竪	item	9	FontItem竪_4792.png
踪	item	10	FontItem踪_48E7.png
工	item	9	FontItem工_488D.png
秋	item	10	FontItem秋_488F.png
菱	item	9	FontItem菱_4895.png
践	item	10	FontItem践_4891.png
芥	item	10	FontItem芥_488A.png
滴	item	9	FontItem滴_4893.png
皐	item	9	FontItem皐_488E.png
蝕	item	10	FontItem蝕_4990.png
迂	item	9	FontItem迂_4989.png
紀	item	10	FontItem紀_498B.png
露	item	9	FontItem露_4998.png
巧	item	9	FontItem巧_498D.png
栗	item	10	FontItem栗_498C.png
棚	item	9	FontItem棚_4992.png
姜	item	9	FontItem姜_499B.png
蜂	item	10	FontItem蜂_4996.png
鍼	item	10	FontItem鍼_49E8.png
蟹	item	9	FontItem蟹_498A.png
繰	item	9	FontItem繰_4A8C.png
憂	item	9	FontItem憂_4A97.png
寧	item	9	FontItem寧_4A94.png
